,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,fuel-type-diesel,fuel-type-gas
0,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,168.8,64.1,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,21,8.703703703703704,13205.69,11.19047619047619,False,True
1,1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,171.2,65.5,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,19,9.038461538461538,13205.69,12.368421052631579,False,True
2,2,164,audi,std,four,sedan,fwd,front,99.8,176.6,66.2,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.2582999999999993,10.0,104.22277227722772,5125.990099009901,24,7.833333333333333,13205.69,9.791666666666666,False,True
3,2,164,audi,std,four,sedan,4wd,front,99.4,176.6,66.4,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.2582999999999993,8.0,104.22277227722772,5125.990099009901,18,10.681818181818182,13205.69,13.055555555555555,False,True
4,2,122,audi,std,two,sedan,fwd,front,99.8,177.3,66.3,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.2582999999999993,8.5,104.22277227722772,5125.990099009901,19,9.4,13205.69,12.368421052631579,False,True
5,1,158,audi,std,four,sedan,fwd,front,105.8,192.7,71.4,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.2582999999999993,8.5,104.22277227722772,5125.990099009901,19,9.4,13205.69,12.368421052631579,False,True
6,1,122,audi,std,four,wagon,fwd,front,105.8,192.7,71.4,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.2582999999999993,8.5,104.22277227722772,5125.990099009901,19,9.4,13205.69,12.368421052631579,False,True
7,1,158,audi,turbo,four,sedan,fwd,front,105.8,192.7,71.4,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.2582999999999993,8.3,104.22277227722772,5125.990099009901,17,11.75,13205.69,13.823529411764707,False,True
8,0,122,audi,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,0.8695652173913044,3053,ohc,five,131,mpfi,3.13,3.2582999999999993,7.0,104.22277227722772,5125.990099009901,16,10.681818181818182,13205.69,14.6875,False,True
9,2,192,bmw,std,two,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,3.2582999999999993,8.8,104.22277227722772,5125.990099009901,23,8.10344827586207,13205.69,10.217391304347826,False,True
10,0,192,bmw,std,four,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,3.2582999999999993,8.8,104.22277227722772,5125.990099009901,23,8.10344827586207,13205.69,10.217391304347826,False,True
11,0,188,bmw,std,two,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,21,8.392857142857142,13205.69,11.19047619047619,False,True
12,0,188,bmw,std,four,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,21,8.392857142857142,13205.69,11.19047619047619,False,True
13,1,122,bmw,std,four,sedan,rwd,front,103.5,189.0,66.9,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.2582999999999993,9.0,104.22277227722772,5125.990099009901,20,9.4,13205.69,11.75,False,True
14,0,122,bmw,std,four,sedan,rwd,front,103.5,189.0,66.9,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.2582999999999993,8.0,104.22277227722772,5125.990099009901,16,10.681818181818182,13205.69,14.6875,False,True
15,0,122,bmw,std,two,sedan,rwd,front,103.5,193.8,67.9,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.2582999999999993,8.0,104.22277227722772,5125.990099009901,16,10.681818181818182,13205.69,14.6875,False,True
16,0,122,bmw,std,four,sedan,rwd,front,110.0,197.0,70.9,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.2582999999999993,8.0,104.22277227722772,5125.990099009901,15,11.75,13205.69,15.666666666666666,False,True
17,2,121,chevrolet,std,two,hatchback,fwd,front,88.4,141.1,60.3,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.2582999999999993,9.5,104.22277227722772,5125.990099009901,47,4.433962264150943,13205.69,5.0,False,True
18,1,98,chevrolet,std,two,hatchback,fwd,front,94.5,155.9,63.6,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.2582999999999993,9.6,104.22277227722772,5125.990099009901,38,5.465116279069767,13205.69,6.184210526315789,False,True
19,0,81,chevrolet,std,four,sedan,fwd,front,94.5,158.8,63.6,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.2582999999999993,9.6,104.22277227722772,5125.990099009901,38,5.465116279069767,13205.69,6.184210526315789,False,True
