Date,Exercise,Category,Weight,Weight Unit,Reps
2024-07-25,Seated Chest Press Machine,Chest,20,kgs,16
2024-07-25,Seated Chest Press Machine,Chest,40,kgs,8
2024-07-25,Seated Chest Press Machine,Chest,40,kgs,4
2024-07-25,Seated Chest Press Machine,Chest,20,kgs,14
2024-07-25,Wide Grip Lat Pulldown,Back,30,kgs,18
2024-07-25,Wide Grip Lat Pulldown,Back,40,kgs,15
2024-07-25,Wide Grip Lat Pulldown,Back,40,kgs,14
2024-07-25,Seated Machine Fly,Chest,20,kgs,13
2024-07-25,Seated Machine Fly,Chest,20,kgs,11
2024-07-25,Seated Machine Fly,Chest,20,kgs,10
2024-07-25,Wide Grip Machine Row,Back,20,kgs,15
2024-07-25,Wide Grip Machine Row,Back,30,kgs,16
2024-07-25,Wide Grip Machine Row,Back,30,kgs,17
2024-07-26,Machine Shoulder Press,Shoulders,12,kgs,12
2024-07-26,Machine Shoulder Press,Shoulders,24,kgs,10
2024-07-26,Machine Shoulder Press,Shoulders,30,kgs,7
2024-07-26,Machine Shoulder Press,Shoulders,30,kgs,6
2024-07-26,Machine Preacher Curl,Biceps,20,kgs,12
2024-07-26,Machine Preacher Curl,Biceps,20,kgs,10
2024-07-26,Machine Preacher Curl,Biceps,20,kgs,4
2024-07-26,Cable Overhead Triceps Extension,Triceps,30,kgs,6
2024-07-26,Cable Overhead Triceps Extension,Triceps,20,kgs,7
2024-07-26,Cable Overhead Triceps Extension,Triceps,20,kgs,6
2024-07-26,Cable Lateral Raise,Shoulders,10,kgs,24
2024-07-26,Cable Lateral Raise,Shoulders,10,kgs,20
2024-07-26,Cable Lateral Raise,Shoulders,10,kgs,18
2024-07-26,Cable Lateral Raise,Shoulders,5,kgs,20
2024-07-26,Baysian Cable Curl,Biceps,30,kgs,8
2024-07-26,Baysian Cable Curl,Biceps,30,kgs,7
2024-07-26,Baysian Cable Curl,Biceps,30,kgs,4
2024-07-29,Wide Grip Lat Pulldown,Back,20,kgs,6
2024-07-29,Wide Grip Lat Pulldown,Back,25,kgs,6
2024-07-29,Wide Grip Lat Pulldown,Back,40,kgs,13
2024-07-29,Wide Grip Lat Pulldown,Back,40,kgs,12
2024-07-29,Wide Grip Lat Pulldown,Back,40,kgs,18
2024-07-29,Machine Shoulder Press,Shoulders,12,kgs,10
2024-07-29,Machine Shoulder Press,Shoulders,18,kgs,6
2024-07-29,Machine Shoulder Press,Shoulders,30,kgs,9
2024-07-29,Machine Shoulder Press,Shoulders,30,kgs,8
2024-07-29,Machine Shoulder Press,Shoulders,24,kgs,6
2024-07-29,Machine Shoulder Press,Shoulders,18,kgs,6
2024-07-29,Rear Delt Machine Fly,Shoulders,20,kgs,16
2024-07-29,Rear Delt Machine Fly,Shoulders,30,kgs,11
2024-07-29,Rear Delt Machine Fly,Shoulders,25,kgs,16
2024-07-29,Cable Lateral Raise,Shoulders,10,kgs,30
2024-07-29,Cable Lateral Raise,Shoulders,15,kgs,10
2024-07-29,Cable Lateral Raise,Shoulders,10,kgs,18
2024-07-29,Cable Lateral Raise,Shoulders,10,kgs,18
2024-07-29,Cable Lateral Raise,Shoulders,5,kgs,18
2024-07-29,Wide Grip Machine Row,Back,40,kgs,13
2024-07-29,Wide Grip Machine Row,Back,40,kgs,13
2024-07-29,Narrow Grip Machine Row,Back,40,kgs,15
2024-07-29,Narrow Grip Machine Row,Back,40,kgs,12
2024-07-29,Dumbbell Shrug,Back,25,kgs,18
2024-07-29,Dumbbell Shrug,Back,25,kgs,15
2024-07-29,Dumbbell Shrug,Back,25,kgs,14
2024-07-30,Cable Tricep Pushdown,Triceps,20,kgs,20
2024-07-30,Cable Tricep Pushdown,Triceps,30,kgs,16
2024-07-30,Cable Tricep Pushdown,Triceps,30,kgs,18
2024-07-30,Machine Preacher Curl,Biceps,10,kgs,15
2024-07-30,Machine Preacher Curl,Biceps,15,kgs,14
2024-07-30,Machine Preacher Curl,Biceps,15,kgs,12
2024-07-30,Incline Dumbbell Bench Press,Chest,25,kgs,15
2024-07-30,Incline Dumbbell Bench Press,Chest,25,kgs,15
2024-07-30,Incline Dumbbell Bench Press,Chest,25,kgs,12
2024-07-30,Incline Dumbbell Bench Press,Chest,15,kgs,10
2024-07-30,Cable Overhead Triceps Extension,Triceps,20,kgs,12
2024-07-30,Cable Overhead Triceps Extension,Triceps,20,kgs,10
2024-07-30,Cable Overhead Triceps Extension,Triceps,20,kgs,8
2024-07-30,Cable Overhead Triceps Extension,Triceps,15,kgs,4
2024-07-30,Cable Overhead Triceps Extension,Triceps,10,kgs,4
2024-07-30,Baysian Cable Curl,Biceps,20,kgs,10
2024-07-30,Baysian Cable Curl,Biceps,20,kgs,16
2024-07-30,Seated Machine Fly,Chest,30,kgs,15
2024-07-30,Seated Machine Fly,Chest,35,kgs,12
2024-07-30,Seated Machine Fly,Chest,35,kgs,11
2024-07-30,Seated Machine Fly,Chest,25,kgs,6
2024-07-30,Seated Machine Fly,Chest,15,kgs,11
2024-07-30,Baysian Cable Curl,Biceps,20,kgs,19
2024-07-30,Baysian Cable Curl,Biceps,10,kgs,20
2024-07-31,Cable Lateral Raise,Shoulders,15,kgs,22
2024-07-31,Cable Lateral Raise,Shoulders,15,kgs,18
2024-07-31,Cable Lateral Raise,Shoulders,10,kgs,26
2024-07-31,Cable Lateral Raise,Shoulders,10,kgs,26
2024-07-31,Cable Lateral Raise,Shoulders,5,kgs,34
2024-07-31,Leg Press,Legs,40,kgs,21
2024-07-31,Leg Press,Legs,60,kgs,22
2024-07-31,Leg Press,Legs,60,kgs,26
2024-07-31,Lying Leg Curl Machine,Legs,20,kgs,20
2024-07-31,Lying Leg Curl Machine,Legs,25,kgs,17
