,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system,bore2
0,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,3.47
1,alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,2.68
2,audi,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.19
3,audi,gas,std,four,sedan,4wd,front,ohc,five,mpfi,3.19
4,audi,gas,std,two,sedan,fwd,front,ohc,five,mpfi,3.19
5,audi,gas,std,four,sedan,fwd,front,ohc,five,mpfi,3.19
6,audi,gas,std,four,wagon,fwd,front,ohc,five,mpfi,3.19
7,audi,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi,3.13
8,audi,gas,turbo,two,hatchback,4wd,front,ohc,five,mpfi,3.13
9,bmw,gas,std,two,sedan,rwd,front,ohc,four,mpfi,3.50
10,bmw,gas,std,four,sedan,rwd,front,ohc,four,mpfi,3.50
11,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,3.31
12,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,3.31
13,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,3.31
14,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,3.62
15,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,3.62
16,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,3.62
17,chevrolet,gas,std,two,hatchback,fwd,front,l,three,2bbl,2.91
18,chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.03
19,chevrolet,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.03
20,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97
21,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97
22,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi,3.03
23,dodge,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,2.97
24,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,2.97
25,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,2.97
26,dodge,gas,turbo,,sedan,fwd,front,ohc,four,mpfi,3.03
27,dodge,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.34
28,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi,3.60
29,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,2.91
30,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,2.91
31,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,2.91
32,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,2.91
33,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,2.91
34,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,2.91
35,honda,gas,std,four,wagon,fwd,front,ohc,four,1bbl,2.92
36,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,3.15
37,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,3.15
38,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,3.15
39,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,3.15
40,honda,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.15
41,honda,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15
42,isuzu,gas,std,four,sedan,rwd,front,ohc,four,2bbl,3.31
43,isuzu,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.03
44,isuzu,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.03
45,isuzu,gas,std,two,hatchback,rwd,front,ohc,four,spfi,3.43
46,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,3.63
47,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,3.63
48,jaguar,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi,3.54
49,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.03
50,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.03
51,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.03
52,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.03
53,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.08
54,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,3.3290499999999996
55,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,3.3290499999999996
56,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,3.3290499999999996
57,mazda,gas,std,two,hatchback,rwd,front,rotor,two,mpfi,3.3290499999999996
58,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.39
59,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.39
60,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.39
61,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.39
62,mazda,diesel,std,,sedan,fwd,front,ohc,four,idi,3.39
63,mazda,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.39
64,mazda,gas,std,four,sedan,rwd,front,ohc,four,mpfi,3.76
65,mazda,diesel,std,four,sedan,rwd,front,ohc,four,idi,3.43
66,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,3.58
67,mercedes-benz,diesel,turbo,four,wagon,rwd,front,ohc,five,idi,3.58
68,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi,3.58
69,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,3.58
70,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,3.46
71,mercedes-benz,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi,3.46
72,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,3.80
73,mercedes-benz,gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi,3.80
74,mercury,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi,3.78
75,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97
